ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Location,Variety,List_ID,SubGroup,SourceType,District,Source,SfW
Alibeglo1,Georgian,nucl1302,,,,41.378056,46.821944,Kartvelian,Alibeglo,,1,Kartvelian,Speaker,Qax,,1
Arkhit1,Lezgian,lezg1247,,,,41.734607,47.97302,East-Caucasian,Arkhit,,2,Lezgic,Speaker,Khiv,,1
Arkhit2,Lezgian,lezg1247,,,,41.734607,47.97302,East-Caucasian,Arkhit,,3,Lezgic,Speaker,Khiv,,1
Arkhit3,Lezgian,lezg1247,,,,41.734607,47.97302,East-Caucasian,Arkhit,,4,Lezgic,Speaker,Khiv,,1
Arkhit4,Lezgian,lezg1247,,,,41.734607,47.97302,East-Caucasian,Arkhit,,5,Lezgic,Speaker,Khiv,,1
Arkhit5,Lezgian,lezg1247,,,,41.734607,47.97302,East-Caucasian,Arkhit,,6,Lezgic,Speaker,Khiv,,1
Arkhit6,Lezgian,lezg1247,,,,41.734607,47.97302,East-Caucasian,Arkhit,,7,Lezgic,Speaker,Khiv,,1
Bezhta1,Bezhta,bezh1248,,,,42.1339,46.1247,East-Caucasian,Bezhta,,8,Tsezic,Speaker,Tsunta,,1
D_Botlikh,Botlikh,botl1242,,,,42.665,46.22,East-Caucasian,Dictionary,,9,Andic,Dictionary,,botlikh,1
D_Agul,Agul,aghu1253,,,,41.92418,47.58429,East-Caucasian,Dictionary,,10,Lezgic,Dictionary,,agul,1
D_Arabic,Arabic,egyp1253,,,,31,31,Afro-Asiatic,Dictionary,,11,Semitic,Dictionary,,,0
D_Avar,Avar,avar1256,,,,42.43056,46.66639,East-Caucasian,Dictionary,,12,Avar,Dictionary,,,0
E_Azerbaijani,Azerbaijani,nort2697,,,,40.97767,46.4737,Altaic,Expert,,13,Turkic,Expert,,Murad Suleymanov; Gadir Mamedov,1
