ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Stem,Lexeme_ID
Alibeglo1-1_theant-1,1,Alibeglo1,1_theant,č'ianč'vela,žinč'ola,,,,,,,,1,
D_Georgian-1_theant-1,2,D_Georgian,1_theant,č'ianč'vela,č'ianč'vela,,,,,,,,1,
Meshabash1-1_theant-1,3,Meshabash1,1_theant,č'ianč'vela,žinč'ela,,,,,,,,1,
Meshabash2-1_theant-1,4,Meshabash2,1_theant,č'ianč'vela,č'ianč'vela,,,,,,,,1,
Qax4-1_theant-1,5,Qax4,1_theant,č'ianč'vela,žionč'ela,,,,,,,,1,
Qax5-1_theant-1,6,Qax5,1_theant,č'ianč'vela,žinč'ola,,,,,,,,1,
Qax6-1_theant-1,7,Qax6,1_theant,č'ianč'vela,žionč'ela,,,,,,,,1,
E_Georgian-1_theant-1,8,E_Georgian,1_theant,č'ianč'vela,č'ianč'vela,,,,,,,,1,
Bezhta1-1_theant-1,9,Bezhta1,1_theant,hũca,hũca,,,,,,,,2,
D_Bezhta1-1_theant-1,10,D_Bezhta1,1_theant,hũca,hũca,,,bezhta,,,,,2,
D_Bezhta2-1_theant-1,11,D_Bezhta2,1_theant,hũca,hũca,,,bezhta,,,,,2,
D_Persian-1_theant-1,12,D_Persian,1_theant,moor,moor,,,,,,,,3,
E_Persian-1_theant-1,13,E_Persian,1_theant,moor,moor,,,,,,,,3,
E_Persian-1_theant-2,14,E_Persian,1_theant,moor,mur,,,,,,,,3,
D_Arabic-1_theant-1,15,D_Arabic,1_theant,نَمْلَة,namlah,,,,,,,,4,
D_Arabic-1_theant-2,16,D_Arabic,1_theant,نَمْلَة,nammah,,,,,,,,4,
E_Arabic-1_theant-1,17,E_Arabic,1_theant,نَمْلَة,نَمْلَة,,,,,,,,4,
E_Azerbaijani-1_theant-1,18,E_Azerbaijani,1_theant,qarışqa,qarışqa,,,,,,,,5,
Darvag1-1_theant-1,19,Darvag1,1_theant,qarışqa,qarışqa,,,,,,,,5,
Darvag2-1_theant-1,20,Darvag2,1_theant,qarışqa,гаришкъа,,,,,,,,5,
Darvag3-1_theant-1,21,Darvag3,1_theant,qarışqa,гаришкъа,,,,,,,,5,
Darvag4-1_theant-1,22,Darvag4,1_theant,qarışqa,хъаришхъа,,,,,,,,5,
Darvag4-1_theant-2,23,Darvag4,1_theant,qarışqa,хъаришхъа,,,,,,,,5,
Darvag5-1_theant-1,24,Darvag5,1_theant,qarışqa,хъаришхъа,,,,,,,,5,
Darvag6-1_theant-1,25,Darvag6,1_theant,qarışqa,хъаришхъа,,,,,,,,5,
Ilisu1-1_theant-1,26,Ilisu1,1_theant,qarışqa,qarışğa,,,,,,,,5,
Qax2-1_theant-1,27,Qax2,1_theant,qarışqa,qarışqa,,,,,,,,5,
Qax3-1_theant-1,28,Qax3,1_theant,qarışqa,qarışqa,,,,,,,,5,
Qax7-1_theant-1,29,Qax7,1_theant,qarışqa,qarışqa,,,,,,,,5,
Qax8-1_theant-1,30,Qax8,1_theant,qarışqa,qarışqa,,,,,,,,5,
Qax9-1_theant-1,31,Qax9,1_theant,qarışqa,qarışqa,,,,,,,,5,
Yersi1-1_theant-1,32,Yersi1,1_theant,qarışqa,qarışqa,,,,,,,,5,
Yersi2-1_theant-1,33,Yersi2,1_theant,qarışqa,хъаришхъа,,,,,,,,5,
Yersi3-1_theant-1,34,Yersi3,1_theant,qarışqa,хъаришхъа,,,,,,,,5,
Yersi4-1_theant-1,35,Yersi4,1_theant,qarışqa,карешпа,,,,,,,,5,
D_Agul-1_theant-1,36,D_Agul,1_theant,зибз,зибз,,,agul,,,,,6,
D_Tabasaran-1_theant-1,37,D_Tabasaran,1_theant,зимз,зимз,,,tabasaran,,,,,6,
Khiv1-1_theant-1,38,Khiv1,1_theant,зимз,зимз,,,,,,,,6,
Khiv2-1_theant-1,39,Khiv2,1_theant,зимз,зимз,,,,,,,,6,
Khiv3-1_theant-1,40,Khiv3,1_theant,зимз,зимз,,,,,,,,6,
Khiv4-1_theant-1,41,Khiv4,1_theant,зимз,зимз,,,,,,,,6,
Khoredzh1-1_theant-1,42,Khoredzh1,1_theant,зимз,зимз,,,,,,,,6,
Khoredzh2-1_theant-1,43,Khoredzh2,1_theant,зимз,зимз,,,,,,,,6,
Khoredzh3-1_theant-1,44,Khoredzh3,1_theant,зимз,зимз,,,,,,,,6,
Khoredzh4-1_theant-1,45,Khoredzh4,1_theant,зимз,зимз,,,,,,,,6,
Khoredzh5-1_theant-1,46,Khoredzh5,1_theant,зимз,зимз,,,,,,,,6,
Khoredzh6-1_theant-1,47,Khoredzh6,1_theant,зимз,зимз,,,,,,,,6,
Khutkhul1-1_theant-1,48,Khutkhul1,1_theant,зибз,зимзак,,,,,,,,6,
Khutkhul2-1_theant-1,49,Khutkhul2,1_theant,зибз,зивз,,,,,,,,6,
Khutkhul3-1_theant-1,50,Khutkhul3,1_theant,зибз,зивз,,,,,,,,6,
Khutkhul4-1_theant-1,51,Khutkhul4,1_theant,зибз,зимз,,,,,,,,6,
Laka1-1_theant-1,52,Laka1,1_theant,зимз,зимз,,,,,,,,6,
Laka2-1_theant-1,53,Laka2,1_theant,зимз,зимз,,,,,,,,6,
Laka3-1_theant-1,54,Laka3,1_theant,зимз,зимз,,,,,,,,6,
Laka4-1_theant-1,55,Laka4,1_theant,зимз,зимз,,,,,,,,6,
Laka5-1_theant-1,56,Laka5,1_theant,зимз,зимс,,,,,,,,6,
Laka6-1_theant-1,57,Laka6,1_theant,зимз,зимз,,,,,,,,6,
Tpig1-1_theant-1,58,Tpig1,1_theant,зибз,зибз,,,,,,,,6,
D_Archi-1_theant-1,59,D_Archi,1_theant,zimzu,zimzu,,,archi,,,,,6,
D_Rutul-1_theant-1,60,D_Rutul,1_theant,дзыдза1хъ,дзыдза1хъ,,,rutul,,,,,8,
Ikhrek1-1_theant-1,61,Ikhrek1,1_theant,дзыдза1хъ,цыхцар,,,,,,,,8,
Ikhrek2-1_theant-1,62,Ikhrek2,1_theant,дзыдза1хъ,цахцар,,,,,,,,8,
Ikhrek3-1_theant-1,63,Ikhrek3,1_theant,дзыдза1хъ,цыцах,,,,,,,,8,
Ikhrek4-1_theant-1,64,Ikhrek4,1_theant,дзыдза1хъ,дзы1хцар,,,,,,,,8,
Kiche1-1_theant-1,65,Kiche1,1_theant,дзыдза1хъ,дзыдзах,,,,,,,,8,
Kiche2-1_theant-1,66,Kiche2,1_theant,дзыдза1хъ,дзыдзахъ,,,,,,,,8,
Kina1-1_theant-1,67,Kina1,1_theant,дзыдза1хъ,дзыдзах,,,,,,,,8,
Kina2-1_theant-1,68,Kina2,1_theant,дзыдза1хъ,дзыдзах,,,,,,,,8,
Kina3-1_theant-1,69,Kina3,1_theant,дзыдза1хъ,дзыдзах,,,,,,,,8,
Rutul1-1_theant-1,70,Rutul1,1_theant,дзыдза1хъ,дзыдзахъ,,,,,,,,8,
Kina4-1_theant-1,71,Kina4,1_theant,дзыдза1хъ,дзыдзых,,,,,,,,8,
Kina5-1_theant-1,72,Kina5,1_theant,дзыдза1хъ,дзыдзих,,,,,,,,8,
