NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	the ant	587	ANT
2	the arch	876	ARCH
3	the axe/ax	677	AXE
4	the ball	1845	BALL
5	the barrel	2548	BARREL
6	the bat	1793	BAT
7	the beak	73	BEAK
8	the beard	678	BEARD
9	the beeswax	1931	BEESWAX
10	the belt	772	BELT
11	the blanket	806	BLANKET
12	the blister	1584	BLISTER
13	the boar	1348	BOAR (MALE PIG)
14	the body	1480	BODY
15	the bottle	1321	BOTTLE
16	the boundary	1010	BOUNDARY
17	the bow	994	BOW
18	the bracelet	1754	BRACELET
19	the bridge	1011	BRIDGE
20	the broom	245	BROOM
21	the bucket	2052	BUCKET
22	the butterfly	1791	BUTTERFLY
23	the cabbage	774	CABBAGE
24	the candle	1273	CANDLE
25	the carrot	3085	CARROT
26	the cat	1208	CAT
27	the cattle	1153	CATTLE
28	the cave	1155	CAVE
29	the chain	1627	CHAIN
30	the clan	302	CLAN
31	the clothing or clothes	1895	CLOTHES
32	the cock/rooster	1511	ROOSTER
33	the colour/color	1613	COLOR
34	the copper	1825	COPPER
35	the corpse	767	CORPSE
36	the cross	1367	CROSS
37	the cup	476	CUP
38	the debt	1914	DEBT
39	the drum	908	DRUM
40	the duck	1360	DUCK
41	the dust	2	DUST
42	the earring	770	EARRING
43	the egg	744	EGG
44	the fairy tale	2937	FAIRY TALE
45	the family	194	FAMILY
46	the felt	325	FELT
47	the fermented drink	404	ALCOHOL (FERMENTED DRINK)
48	the firewood	10	FIREWOOD
49	the fish	227	FISH
50	the fist	1473	FIST
51	the flour	1594	FLOUR
52	the flower	239	FLOWER
53	the footprint	318	FOOTPRINT
54	the fork	1302	FORK
55	the fork(2)/pitchfork	337	PITCHFORK
56	the friend	1325	FRIEND
57	the frog	503	FROG
58	the garden	586	GARDEN
59	the glass	604	GLASS
60	the gold	1369	GOLD
61	the goose	1187	GOOSE
62	the grape	920	GRAPE
63	the grasshopper	607	GRASSHOPPER
64	the guest	1782	GUEST
65	the gun	1566	GUN
66	the hammer	1481	HAMMER
67	the hare	1190	HARE
68	the herd		
69	the iron	621	IRON
70	the joke	3425	JOKE
71	the lead	627	LEAD (CHEMICAL ELEMENT)
72	the lightning	1654	LIGHTNING
73	the lion	1386	LION
74	the lip	478	LIP
75	the lizard	632	LIZARD
76	the lock	1596	LOCK
77	the maize/corn	506	MAIZE
78	the medicine	1372	MEDICINE
79	the melon	507	MELON
80	the mirror	1171	MIRROR
81	the money	1559	MONEY
82	the mortar(2)	1731	MORTAR BINDER
83	the mule	890	MULE
84	the mushroom	641	MUSHROOM
85	the nail	502	NAIL (TOOL)
86	the needle(1)	1382	NEEDLE (FOR SEWING)
87	the neighbour	1332	NEIGHBOUR
88	the nest	539	NEST
89	the nettle	33	NETTLE
90	the oats	60	OAT
91	the orphan	1149	ORPHAN
92	the owl	735	OWL
93	the paint	647	PAINT (PIGMENTS)
94	the paper	648	PAPER
95	the partridge	3681	PARTRIDGE
96	the pea	2025	PEA
97	the pear	922	PEAR
98	the pencil	2578	PENCIL
99	the pepper	1385	PEPPER
100	the pig	1337	PIG
101	the pipe	1124	PIPE
102	the plum			
103	the pocket	1851	POCKET
104	the poison	655	POISON
105	the price	657	PRICE
106	the prison	1281	PRISON
107	the pumpkin or squash	864	PUMPKIN
108	the reindeer/caribou	1876	REINDEER
109	the rice	926	RICE
110	the ring	1374	RING
111	the rope	1218	ROPE
112	the rosary			
113	the rust	3064	RUST
114	the sand	671	SAND
115	the saw	1948	SAW
116	the scar	497	SCAR
117	the school	673	SCHOOL
118	the scissors or shears	356	SHEARS
119	the scythe	20	SCYTHE
120	the sea	1474	SEA
121	the shade or shadow	1388	SHADE
122	the shop/store	752	STORE
123	the sickle	341	SICKLE
124	the silver	759	SILVER
125	the slave	812	SLAVE
126	the sledge/sled	16	SLED
127	the sleeve	2953	SLEEVE
128	the soap	788	SOAP
129	the song	1096	SONG
130	the soup	1547	SOUP
131	the spade	1176	SPADE
132	the spider	843	SPIDER
133	the spoon	1378	SPOON
134	the sugar	862	SUGAR
135	the table	1775	TABLE
136	the tail	1220	TAIL
137	the thief	1160	THIEF
138	the thing	738	THING
139	the thread	1161	THREAD
140	the time	892	TIME
141	the tobacco	974	TOBACCO
142	the tongs	272	TONGS
143	the towel	1021	TOWEL
144	the trousers	809	TROUSERS
145	the turnip	3062	TURNIP
146	the voice	1363	VOICE
147	the wall	933	WALL (OF HOUSE)
148	the watermelon	2766	WATERMELON
149	the wedding	1259	WEDDING
150	the week	1469	WEEK
151	the wheel	710	WHEEL
152	the whip	2630	WHIP
153	the widow	1756	WIDOW
154	the window	1375	WINDOW
155	the wine	1524	WINE
156	the wing	1257	WING
157	the wolf	522	WOLF
158	the work	984	WORK (LABOUR)
159	the worm	1219	WORM
160	the year	1226	YEAR
