List_ID	Type	SfW	Code	Language	Family	Group	Glottocode	Village	Lat	Lon	District	Reference
1	Speaker	1	Alibeglo1	Georgian	Kartvelian	Kartvelian	nucl1302	Alibeglo	41.378056	46.821944	Qax	
2	Speaker	1	Arkhit1	Lezgian	East-Caucasian	Lezgic	lezg1247	Arkhit	41.734607	47.97302	Khiv	
3	Speaker	1	Arkhit2	Lezgian	East-Caucasian	Lezgic	lezg1247	Arkhit	41.734607	47.97302	Khiv	
4	Speaker	1	Arkhit3	Lezgian	East-Caucasian	Lezgic	lezg1247	Arkhit	41.734607	47.97302	Khiv	
5	Speaker	1	Arkhit4	Lezgian	East-Caucasian	Lezgic	lezg1247	Arkhit	41.734607	47.97302	Khiv	
6	Speaker	1	Arkhit5	Lezgian	East-Caucasian	Lezgic	lezg1247	Arkhit	41.734607	47.97302	Khiv	
7	Speaker	1	Arkhit6	Lezgian	East-Caucasian	Lezgic	lezg1247	Arkhit	41.734607	47.97302	Khiv	
8	Speaker	1	Bezhta1	Bezhta	East-Caucasian	Tsezic	bezh1248	Bezhta	42.1339	46.1247	Tsunta	
9	Dictionary	1	D_Botlikh	Botlikh	East-Caucasian	Andic	botl1242	Dictionary	42.665	46.22	Dictionary	"@book{botlikh,
  title={Ботлихско-русский словарь},
  author={Саидова, Патимат Абдулаевна and Абусов, МГ},
  year={2012},
  publisher={Дагестанский научный центр РАН}
}"
10	Dictionary	1	D_Agul	Agul	East-Caucasian	Lezgic	aghu1253	Dictionary	41.92418	47.58429	Dictionary	"@book{agul,
  title={Русско-агульский словарь},
  author={Мазанаев, Шабан Абдулкадырович and Самедов, ДС and Гасанова, Салминат Нурадиновна and Базиева, ЗМ},
  year={2012},
  publisher={Дагестанский государственный университет}
}"
11	Dictionary	0	D_Arabic	Arabic	Afro-Asiatic	Semitic	egyp1253	Dictionary	31	31	Dictionary	
12	Dictionary	0	D_Avar	Avar	East-Caucasian	Avar	avar1256	Dictionary	42.43056	46.66639	Dictionary	
13	Expert	1	E_Azerbaijani	Azerbaijani	Altaic	Turkic	nort2697	Expert	40.97767	46.4737	Expert	Murad Suleymanov; Gadir Mamedov
