Concept_ID	Concept
1	the ant
2	the arch
3	the axe/ax
4	the ball
5	the barrel
6	the bat
7	the beak
8	the beard
9	the beeswax
10	the belt
11	the blanket
12	the blister
13	the boar
14	the body
15	the bottle
16	the boundary
17	the bow
18	the bracelet
19	the bridge
20	the broom
21	the bucket
22	the butterfly
23	the cabbage
24	the candle
25	the carrot
26	the cat
27	the cattle
28	the cave
29	the chain
30	the clan
31	the clothing or clothes
32	the cock/rooster
33	the colour/color
34	the copper
35	the corpse
36	the cross
37	the cup
38	the debt
39	the drum
40	the duck
41	the dust
42	the earring
43	the egg
44	the fairy tale
45	the family
46	the felt
47	the fermented drink
48	the firewood
49	the fish
50	the fist
51	the flour
52	the flower
53	the footprint
54	the fork
55	the fork(2)/pitchfork
56	the friend
57	the frog
58	the garden
59	the glass
60	the gold
61	the goose
62	the grape
63	the grasshopper
64	the guest
65	the gun
66	the hammer
67	the hare
68	the herd
69	the iron
70	the joke
71	the lead
72	the lightning
73	the lion
74	the lip
75	the lizard
76	the lock
77	the maize/corn
78	the medicine
79	the melon
80	the mirror
81	the money
82	the mortar(2)
83	the mule
84	the mushroom
85	the nail
86	the needle(1)
87	the neighbour
88	the nest
89	the nettle
90	the oats
91	the orphan
92	the owl
93	the paint
94	the paper
95	the partridge
96	the pea
97	the pear
98	the pencil
99	the pepper
100	the pig
101	the pipe
102	the plum
103	the pocket
104	the poison
105	the price
106	the prison
107	the pumpkin or squash
108	the reindeer/caribou
109	the rice
110	the ring
111	the rope
112	the rosary
113	the rust
114	the sand
115	the saw
116	the scar
117	the school
118	the scissors or shears
119	the scythe
120	the sea
121	the shade or shadow
122	the shop/store
123	the sickle
124	the silver
125	the slave
126	the sledge/sled
127	the sleeve
128	the soap
129	the song
130	the soup
131	the spade
132	the spider
133	the spoon
134	the sugar
135	the table
136	the tail
137	the thief
138	the thing
139	the thread
140	the time
141	the tobacco
142	the tongs
143	the towel
144	the trousers
145	the turnip
146	the voice
147	the wall
148	the watermelon
149	the wedding
150	the week
151	the wheel
152	the whip
153	the widow
154	the window
155	the wine
156	the wing
157	the wolf
158	the work
159	the worm
160	the year
